AACHEN,Aachen
ARCHTGF,Arrochar & Tarbet Ground Frame
ARCHAME,Arrochar & Tarbet Up Refuge Siding AMEC
ARUNDEL,Arundel
ARUNDLJ,Arundel Junction
ARUNLRD,Arundel London Road
ARUN50,Arundel Shunt Signal AR50
ARNDLSB,Arundel Signal Box
ARUN999,"Arundel [unknown feature, labelled ""do not use""]"
ASCOT,Ascot
ASCODS,Ascot Down Siding
ASCO237,Ascot Signal BEF2237
ASCO238,Ascot Signal BEF2238
ASCO501,Ascot Signal F501
ASCO504,Ascot Signal F504
ASCO506,Ascot Signal F506
ASCTUWD,Ascott-under-Wychwood
ASCOTW,Ascot West
ASFRDBY,Asfordby Colliery
ASBRDGE,Ash Bridge Junction
ASHBRYS,Ashburys
ASHBAWS,Ashburys Ardwick West Sidings English Welsh & Scottish Railway
ASHBADL,Ashburys Arrival & Departure Line
ASHBREJ,Ashburys East Junction
ASHBEWS,Ashburys English Welsh & Scottish Railway
ASHBFHH,Ashburys LaFarge/Freightliner Heavy Haul
ASHB998,Ashburys Signal AS998
ASHBRSB,Ashburys Signal Box
ASHBRSY,Ashburys Sorting Sidings
ASHBGBR,Ashburys Tarmac GB Railfreight
ASHBRWJ,Ashburys West Junction Signal AS998
ASHCHRC,Ashchurch For Tewkesbury
ASHCMOD,Ashchurch MOD (Army)
ASHCGBF,Ashchurch MOD GB Railfreight
ASHC453,Ashchurch Signal G453
ASHCRSB,Ash Crossing Signal Box
ASFIELD,Ashfield
ASHFAJN,Ashford A Junction
ASHFKCS,Ashford Carriage Holding Sidings
ASHFCR,Ashford Crane Depot
ASHFDNS,Ashford Down Sidings
ASHFDYW,Ashford Down Yard Washer Road
ASHFEBS,Ashford East Berthing Sidings
ASHFEJN,Ashford East Junction
ASHFCEJ,Ashford East Junction (CTRL)
ASHFKGR,Ashford Gussett Road/Maidstone Loop
ASHFKI,Ashford International
ASHFKCY,Ashford (Kent) Down Yard Canterbury End
ASHFLCS,Ashford Loco Sidings
ASHFPDS,Ashford Powell Duffryn
ASHFKPD,Ashford Pre-Assembly Depot
ASHF661,Ashford Signal AD661
ASHFE91,Ashford Signal AD691
ASHF871,Ashford Signal AD871
ASHF878,Ashford Signal AD878
ASHF119,Ashford Signal AD2119
ASHFDSB,Ashford Station Signal Box
ASHFTEL,Ashford Telesales
ASHFEUP,Ashford Up East Sidings
ASHFUPS,Ashford Up Sidings
ASHFWRD,Ashford Washer Road
ASHFWJN,Ashford West Junction
ASHFCWJ,Ashford West Junction (CTRL)
ASHFKWY,Ashford West Yard
ASHFWS,Ashford Works Sidings
ASHFKYD,Ashford Yard Terminal Complex
ASHGTN,Ashington
ASHGTNJ,Ashington Junction
ASHLEY,Ashley
ASHYDN,Ashley Down
ASHH331,Ash Signal GD1331
ASHD,Ashtead
