AACHEN,Aachen
IVRNEFP,Inverness Catchment Area Focal Point
IVRNCSD,Inverness Carriage Servicing Depot
IVRNCE,Inverness Civil Engineer's Sidings
IVRNFD,Inverness Freight Depot
IVRNFSD,Inverness Freight Sidings DRS
IVRNHBD,Inverness Harbour Branch
IVRNRSL,Inverness JG Russell
IVRNFHH,Inverness Lafarge
IVRNCLR,Inverness Millburn Colas Rail
IVRNMRT,Inverness Motorail Terminal
IVRNNL,Inverness North Loops
IVRS283,Inverness Signal I283
IVRN387,Inverness Signal I387
IVRN395,Inverness Signal I395
IVRN397,Inverness Signal I397
IVRN410,Inverness Signal I410
IVRN413,Inverness Signal I413
IVRN422,Inverness Signal I422
IVRN424,Inverness Signal I424
IVRN427,Inverness Signal I427
IVRN429,Inverness Signal I429
IVRN707,Inverness Signal I707
IVRN711,Inverness Signal I711
IVRNTC,Inverness Terminal Complex
IVRNTMD,Inverness Traction Maintenance Depot
IVRNRSD,Inverness WRCS
INVRSHN,Invershin
INVURIE,Inverurie
INVURCE,Inverurie Civil Engineer's Sidings
INVURNJ,Inverurie North Junction
INVURTB,Inverurie Turnback Siding
INVURYD,Inverurie Yard
IPSWICH,Ipswich
IPSWBHJ,Ipswich Boss Hall Junction
IPSWCCS,Ipswich Carriage Servicing Depot
IPSWCRD,Ipswich Centre Road
IPSWCLQ,Ipswich Cliffe Quay
IPSWUDG,Ipswich Down And Up Goods
IPSWESJ,Ipswich East Suffolk Junction
IPSWEPJ,Ipswich Europa Junction
IPSWFLD,Ipswich Field Sidings
IPSWGWF,Ipswich Griffin Wharf
IPSWGWG,Ipswich Griffin Wharf GB Railfreight
IPSWHLW,Ipswich Halesworthsee also Halesworth
IPSWHJN,Ipswich Halifax Junction
IPSWCHS,Ipswich HS
IPSWLRD,Ipswich London Road
IPSWCLY,Ipswich Lower Yard
IPSWRSD,Ipswich Ransomes Sidings
IPSWRCP,Ipswich Reception
IPSWRFL,Ipswich Reception Freightliner
IPSWYGB,Ipswich Reception GB Railfreight
IPSWSN1,Ipswich Shunt Neck 1
IPSW295,Ipswich Signal CO295
IPSW297,Ipswich Signal CO297
IPSW326,Ipswich Signal CO326
IPSW328,Ipswich Signal CO328
IPSW333,Ipswich Signal CO333
IPSW335,Ipswich Signal CO335
IPSW348,Ipswich Signal CO348
IPSW351,Ipswich Signal CO351
IPSW352,Ipswich Signal CO352
IPSW820,Ipswich Signal CO820
IPSW822,Ipswich Signal CO822
IPSW830,Ipswich Signal CO830
IPSW832,Ipswich Signal CO832
IPSWSWD,Ipswich Southwold Bus
IPSWSS,Ipswich Storage Sidings
IPSWTFP,Ipswich Top Yard Fuelling Point
IPSWVFP,Ipswich Vehicle Maintenance Facility Fuelling Point
IPSWVWS,Ipswich Vehicle Maintenance Facility Wagon Shed
IPSWVWL,Ipswich Vehicle Maintenance Facility Wheel Lathe
IPSWWRD,Ipswich Wagon Repair Depot English Welsh & Scottish Railway/Freightliner
IPSWECD,Ipswich Wherstead Road Electrification Construction Depot
IPSWFDS,Ipswich Yard/Field Siding
IRLAM,Irlam
IRONACT,Iron Acton
IRNBDGG,Ironbridge Gorge
IRNBDGE,Ironbridge Power Station also known as Buildwas CEGB
IRNBFLF,Ironbridge Power Station Fastline Freight
IRNBFHH,Ironbridge Power Station Freightliner Heavy Haul
IRNBGBR,Ironbridge Power Station GB Railfreight
IRNBGSB,Ironbridge Power Station Stop Board
IRNVLJN,Ironville Junction
IRTONRD,Irton Road
IRVN,Irvine
IRVNBCC,Irvine Blue Circle Cement
IRVNB,Irvine Bogside (Snodgrass)
IRVNCPP,Irvine Caledonian Paper
IRVNGBR,Irvine Caledonian Paper GB Railfreight
IRVNCE,Irvine Civil Engineer's Sidings
IRVN801,Irvine Signal PK801/GPK801
IRVNUPM,Irvine 'UPM' Colas
ISLEWTH,Isleworth
ISLIP,Islip
IVER,Iver
IVYBDGE,Ivybridge
JAMCOK,James Cook University Hospital
JAMESDG,James Street Sidings
JAME537,James Street Signal ML537
JAME504,James Street Signal ML1504
JARROW,Jarrow Freight Depot
JARROWS,Jarrow Shell
JARROWT,Jarrow Terminal
JARRGBF,Jarrow Tyne Coal Terminal GB Railfreight
JARRTCT,Jarrow Tyne Coal Terminal PTA
JARRAUT,Jarrow Tyne Dock English Welsh & Scottish Railway (Automotive)
JARRAFL,Jarrow Tyne Dock Freightliner (Automotive)
JARRFHH,Jarrow Tyne Dock Freightliner Heavy Haul
JARRIFT,Jarrow Tyne Dock Intermodal English Welsh & Scottish Railway
JARRGIN,Jarrow Tyne Dock Intermodal GB Railfreight
JARRPTA,Jarrow Tyne Dock Port of Tyne Authority
JBMTHQ,JBMT Headquarters
JFRSTNL,Jefferstone Lane
JERSFHH,Jersey Marine Freightliner Heavy Haul
JERSMJN,Jersey Marine Junction North
JERSMJS,Jersey Marine Junction South
JERS470,Jersey Marine South Junction Signal PT470
JERSMSS,Jersey Marine Steel Supp
JERSYMY,Jersey Marine Yard
JEUMONT,Jeumont
JNCROFT,Joan Croft Junction
JNCRMOS,Joan Croft Moss
JOHNSTN,Johnstone (Strathclyde)
JHNSTND,Johnston (Pembs) formerly Johnston (Dyfed)
JOPPSTR,Joppa Straight
JORDANH,Jordanhill
JRDJ,Junction Road Junction
KAIMGF,Kaimes Ground Frame
KAIMES,Kaimes Quarry Siding
KARLSRH,Karlsruhe
KAYPRKJ,Kay Park Junction
KEADBYC,Keadby Canalsee also Althorpe Keadby Canal
KEARSLY,Kearsley (Manchester)
KEIGHLY,Keighley
KEIGWVR,Keighley & Worth Valley Railway
KEIGHSJ,Keighley Station Junction
KEITH,Keith
KEITHBP,Keith Branch Platform
KEITBPG,Keith Branch Platform GB Railfreight
KEITCHI,Keith Chivas Brothers
KEITHLP,Keith Loop
KEITMAC,Keith MacPhearson Transport
KEITHSP,Keith Strathisla Platform
KEITHY,Keith Yard
KELNGLY,Kellingley Colliery
KELNFLF,Kellingley Colliery Fastline Freight
KELNFHH,Kellingley Colliery Freightliner Heavy Haul
KELNGBR,Kellingley Colliery GB Railfreight
KELVEDN,Kelvedon
DAWSHLM,Kelvindale
KEMBLE,Kemble
KEMB546,Kemble Signal SW6546
KMPSTNH,Kempston Hardwick
KMPTNPK,Kempton Park
KEMSING,Kemsing
KMSLDN,Kemsley Down
KENDAL,Kendal
KNDAL,"Kendal, Gates Of (Leicester) B751"
KENLWTH,Kenilworth Junctions
KENLSTN,Kenilworth [station]
KENLSTM,Kenilworth [unknown feature possibly recorded in error]
KNLYBUS,Kenley (A22)
KNRDTNX,Kennardington Level Crossing
KNMTSB,Kennethmont
KENNETT,Kennett
KENETBS,Kennett Banks Siding
KENNFHH,Kennett Freightliner Heavy Haul
KENNTGF,Kennett Redland Ground Frame
KENETRS,Kennett Redland Siding
KNNGGLP,Kennington Goods Loops
KNNGTNJ,Kennington Junctionalso listed as Kennington Junction Points Heaters
KENISHD,Kennishead
KENSLG,Kensal Green
KENGCSP,Kensal Green Carriage Servicing Platform
KENGCRL,Kensal Green East CRL
KENSLGJ,Kensal Green Junction
KENSLGS,Kensal Green Sidings
KENSLGT,Kensal Green Turnback
KENR,Kensal Rise
KNSGHST,Kensington High Street LT
KENOLYM,Kensington Olympia
KENTHOS,Kent House
KNTSHTN,Kentish Town
KNTSHTJ,Kentish Town Junction
KNTSHTW,Kentish Town West
KTON,Kenton
KTBK,Kents Bank
KESWICK,Keswick (Bus Station)
KESWCOK,Keswick Cockermouth (Main Street)
KETR,Kettering
KETRENG,Kettering Engineering Sidings
KETRGED,Kettering Geddington
KETRGLN,Kettering Glendon
KETRHBS,Kettering Hot Box Siding
KETRGNJ,Kettering North Junction
KETR094,Kettering Signal BK6094
KETR49,Kettering Signal LR49
KETR617,Kettering Signal LR617
KETRSJ,Kettering South Junction
KETRSSD,Kettering Stabling Sidings
KETTON,Ketton Signal Box
KETTK3,Ketton Signal K3
KETTWSD,Ketton Ward Siding
KETTWGB,Ketton Ward Siding GB Railfreight
KEWEJ,Kew East Junction
KEWGRDN,Kew Gardens
KEYHAM,Keyham
KEYH127,Keyham Signal P127
KEYMERJ,Keymer Junction
KEYM640,Keymer Junction Signal T640
KEYNSHM,Keynsham
KEYNSCH,Keynsham Church
KIBWRTH,Kibworth Summit
KIDBROK,Kidbrooke
KDRMNST,Kidderminster
KDRMCHS,Kidderminster Carriage Holding Sidings
KDRMDGL,Kidderminster Down Goods Loop
KDRMSVR,Kidderminster Severn Valley Railway
KDRMTMD,Kidderminster Traction Maintenance Depot Severn Valley Railway
KIDLNTN,Kidlington
KIDSGRV,Kidsgrove
KIDS587,Kidsgrove Signal SOT587
KIDWELY,Kidwelly
KIDWJCN,Kidwelly Junction
KIDWPY,Kidwelly Pontyates Level Crossing
KIDW251,Kidwelly Signal PT3251
KIJFOEK,Kijfhoek Yard
KLBRNHR,Kilburn High Road
KILBLC,Kilburn Level Crossing (Derbyshire)
KILBPLT,Kilburn Park LT
KLBRUDG,Kilburn Up & Down Goods Loop
KLBYBDG,Kilby Bridge Junction
KLCRGGN,Kilcreggan
KLDL,Kildale
CATZKDR,Kildare
KILDONN,Kildonan
KILGETY,Kilgetty
CATZKNY,Kilkenny
KKERRAN,Kilkerran
KILARNY,Killarney
KILLCNE,Killiecrankie
KILCHCL,Killoch Colliery
KILCFHH,Killoch Colliery Freightliner Heavy Haul
KILCGBF,Killoch Colliery GB Railfreight
KILMRNK,Kilmarnock
KILMBCY,Kilmarnock Barclay Sidings
KILMBWJ,Kilmarnock Barleith J Walker
KILMCE,Kilmarnock Civil Engineer's Sidings
KILMWKR,Kilmarnock Hill Street J Walker
KILMLTC,Kilmarnock Long Lyes Terminal Complex
KILM72,Kilmarnock Signal K72
KILM86,Kilmarnock Signal K86
KLMAURS,Kilmaurs
KLNHLOS,Kilnhurst Limit Of Shunt
KLNH104,Kilnhurst Signal S1104
KLNH105,Kilnhurst Signal S1105
KLNH109,Kilnhurst Signal S1109
KLNHUGL,Kilnhurst Up Goods Loop
KLNHYTD,Kilnhurst West Croda
KLNHRSW,Kilnhurst West Junction
KLPTRCK,Kilpatrick
KILWNNG,Kilwinning
KILWJCE,Kilwinning Down Civil Engineer's Siding
KILW785,Kilwinning Signal PK785
KILW794,Kilwinning Signal PK794
KILWNCE,Kilwinning Up Civil Engineer's Siding
KILWUGL,Kilwinning Up Goods Loop
KILWUGY,Kilwinning Up Goods Yard
KINBRAC,Kinbrace
KINBRLC,Kinbrace Level Crossing
KINBTLP,Kinbrace Timber Loading Point
KNCDNLC,Kincardine Level Crossing
KINCDPS,Kincardine Power Station
KNCRAIG,Kincraig
KINETON,Kineton
KINEJN,Kineton Junction
KINEGBF,Kineton MOD GB Railfreight
KINESD1,Kineton Siding 1
KINESD2,Kineton Siding 2
KINESD3,Kineton Siding 3
KEBGEJN,King Edward Bridge East Junction
KEBGNJN,King Edward Bridge North Junction
KEBGSJN,King Edward Bridge South Junction
KINGHAM,Kingham
CROY17,King Henry's Drive Tram
KGHN,Kinghorn
KGMRBBJ,Kingmoor Brunthil Branch Junction
KGMRDD1,Kingmoor DD1 Signal Box
KGMRDSB,Kingmoor Down Arrival Stop Board
KGMRDSG,Kingmoor Down Recess Sidings
KGMRSGF,Kingmoor Ground Frame
KGMRJCN,Kingmoor Junction
KGMRDRS,Kingmoor Siding DRS
KGMRVWR,Kingmoor Siding Victa Westlink Rail
KGMR481,Kingmoor Signal CE481
KGMR482,Kingmoor Signal CE482
KGMR486,Kingmoor Signal CE486
KGMR487,Kingmoor Signal CE487
KGMR490,Kingmoor Signal CE490
KGMRUD1,Kingmoor Signal UD1
KGMRSRR,Kingmoor Stainton Junction/Run Round
KGMRLIP,Kingmoor Traction Maintenance Depot (DRS)
KGMRUDS,Kingmoor Up Departures
KGMRULP,Kingmoor Up Loop
KGMRURS,Kingmoor Up Reception Sidings
KGMRUTS,Kingmoor Up Through Sidings
KGMRVQ,Kingmoor Virtual Quarry
KGMRDDS,Kingmoor Yard Down Departure Siding
KNGBRDG,Kingsbridge Bus Station
KNGBQUY,Kingsbridge Quay
KNGSBC,Kingsbury Birch Coppice
KNGSBCE,Kingsbury Birch Coppice Exchange Siding
KNGSBCF,Kingsbury Birch Coppice Freightliner
KNGSBFT,Kingsbury Birch Coppice Freightliner Terminal
KNGSBCG,Kingsbury Birch Coppice GB Railfreight
KNGSBCJ,Kingsbury Branch Junction
KNGSBCS,Kingsbury Coal Sidings
KNGSBEM,Kingsbury European Metal Recycling Sidings
KNGSFHH,Kingsbury Freightliner Heavy Haul
KNGSBYJ,Kingsbury Junction
KNGSCRL,Kingsbury Oil Colas
KNGSBOS,Kingsbury Oil Sidings
KNGSBRS,Kingsbury Reception Sidings
KNGSBSF,Kingsbury Shunting Frame
KNGSBYY,Kingsbury Sidings
KNGSBYG,Kingsbury Sidings GB Railfreight
KNGS950,Kingsbury Signal WW6950
KNGSBSS,Kingsbury Stabling Sidings
KNGX,Kings Cross
KNGXBAL,Kings Cross Ballast Siding
KNGXBEL,Kings Cross Belle Isle
KNGX303,Kings Cross Belle Isle Signal K303
KNGXFTJ,Kings Cross Copenhagen Junction
KNGX300,Kings Cross Copenhagen Junction Signal K300
KNGXESG,Kings Cross East Sidings
CATZ040,Kings Cross For The Games
KNGXFD,Kings Cross Freight Depot
KNGXTCS,Kings Cross Freight Depot TPCM
KNGXFDW,Kings Cross Freight Depot Willments
KNGXFTJ,Kings Cross Freight Terminal Junction
KNGXGWR,Kings Cross Gasworks Tunnel Reversing Point
KNGXINJ,Kings Cross Incline Junction
CATEZKX,Kings Cross LT
KNGXPI,Kings Cross Pioneer
KNGXSPS,Kings Cross Spoil Siding
KNGXFGM,Kings Cross Tarmac Topmix
KNGXYWJ,Kings Cross York Way North Junctionsee also York Way North Junction
KGSDYKE,Kings Dyke
KGSGJN,King's Gate Junction
KIGSHTH,Kings Heath
KNGW,Kingsknowe
KLGL,Kings Langley
KLGLLP,Kings Langley Loop
KLYNN,Kings Lynn
KLYNBUS,Kings Lynn Bus Station Great Northern
KLYNNCS,Kings Lynn Carriage Sidings
KLYNNDF,Kings Lynn Dalgetty & Franklin
KLYNNDK,Kings Lynn Docks
KLYNNFP,Kings Lynn Fuelling Point
KLYNNJN,Kings Lynn Junction
KLYNN29,Kings Lynn Signal KL29
KLYNN36,Kings Lynn Signal KL36
KLYNN43,Kings Lynn Signal KL43
KLYNN45,Kings Lynn Signal KL45
KLYNNSS,Kings Lynn Stabling Siding
KLYNNTC,Kings Lynn Terminal Complex
KLYNNTG,Kings Lynn Terminal Complex GB Railfreight
KNTHWSD,Kingsnorth Whitehall Sidings
KNORTON,Kings Norton
KNORCT,Kings Norton Car Terminal
KNOR57,Kings Norton Signal SY57
KNOR522,Kings Norton Signal SY522
KNOR523,Kings Norton Signal SY523
KNOR528,Kings Norton Signal SY528
KNOR529,Kings Norton Signal SY529
KNYMPTN,Kings Nympton
KGPK,Kings Park
KINSSTN,Kings Sutton
KINSVSQ,Kings Sutton Village Square
KGST410,Kingston Signal F410
KGST412,Kingston Signal F412
KSWNJN,Kingswinford Junction
KGUSSIE,Kingussie
KGUSCE,Kingussie Civil Engineer's Sidings
KNAIRPK,Kinnaird Parksee also Newcraighall
KNTBRY,Kintbury
KNTB848,Kintbury Signal R848
KNTB103,Kintbury Signal RK103
KNTB57,Kintbury Signal UW57
KINTORE,Kintore
KIRBYX,Kirby Cross
KKBY,Kirkby
KRKYCEN,Kirkby-in-Ashfield
KRKBYIF,Kirkby-in-Furness
KRKYLEJ,Kirkby Lane End Junction
KSTP,Kirkby Stephen
KSTP9,Kirkby Stephen Signal KS9
KSTPTC,Kirkby Stephen Town Centre
KSTPURS,Kirkby Stephen Up Refuge Siding
KRBYSUM,Kirkby Summit Signal Box
KCLD,Kirkcaldy
KCLDYDD,Kirkcaldy Sidings
KCLD838,Kirkcaldy Signal EK838
KCLD842,Kirkcaldy Signal EK842
KCLD843,Kirkcaldy Signal EK843
KCLDYYD,Kirkcaldy Yard
KRKC,Kirkconnel
KRKCCE,Kirkconnel Civil Engineer's Sidings
KRKC39,Kirkconnel Signal KC39
KRKDALE,Kirkdale
KRKDLCS,Kirkdale Carriage Sidings
KIRKHAM,Kirkham & Wesham
KIRKM51,Kirkham & Wesham Signal KM51
KIRKCCE,Kirkham Chief Civil Engineer's Sidings
KIRKMNJ,Kirkham North Junction
KIRKOTM,Kirkham On Track Machine Siding
KIRKMSJ,Kirkham South Junction
KIRKMWJ,Kirkham West Junction
ZZTYKKH,Kirkhaugh
KRKH,Kirkhill
KRKNWTN,Kirknewton
KRKP861,Kirkpatrick Cove Signal MC861
KRKP862,Kirkpatrick Signal MC862
KRKP863,Kirkpatrick Signal MC863
KKSNDAL,Kirk Sandall
KKSNJN,Kirk Sandall Junction
KKSN667,Kirk Sandall Signal D667
KRKSXO,Kirkstall Crossover
KRKSLDL,Kirkstall Down Loop
KRKSLFR,Kirkstall Forge
KRKSLUL,Kirkstall Up Loop
KIRKWAL,Kirkwall
KRKWOOD,Kirkwood
KRTLBDG,Kirtlebridge Ground Frame
KTNLJN,Kirton Lane Junction
KRTNLMS,Kirton Lime Sidings
KRTNLND,Kirton Lindsey
KITTYBR,Kittybrewster
KITTYAL,Kittybrewster Arrival Line
KITTYGF,Kittybrewster Ground Frame
KITTSCA,Kittybrewster Scatter Burns Intermediate Block Section
KVTNBDG,Kiveton Bridge
KVTNPK,Kiveton Park
KVTNPKC,Kiveton Park Colliery
KVTNXOV,Kiveton Park Crossover
KVTNFHH,Kiveton Park Freightliner Heavy Haul
KNRSBGH,Knaresborough
KNEBWTH,Knebworth
KNEB639,Knebworth Signal K639
KNIGHTN,Knighton
KWJ529,Knightswood Junction Signal EY529
KNCKHLT,Knockholt
KNOKFHH,Knockshinnoch Freightliner Heavy Haul
KNOK15,Knockshinnoch Signal NC15
KNOKSCH,Knockshinnoch Washery
KNDLVLX,Knodishall Level Crossing
KNTNGLY,Knottingley
KNTNYFD,Knottingley Depot
KNTNGLE,Knottingley East
KNTNGEJ,Knottingley East Junction
KNTNELL,Knottingley England Lane Level Crossing
KNTNGFD,Knottingley Freight Depot
KNTNGJK,Knottingley Jacksons
KNTNLIP,Knottingley Locomotive Inspection Point/Traction Maintenance Depot
KNTNSDG,Knottingley Sidings
KNTN417,Knottingley Signal FE6417
KNTN418,Knottingley Signal FE6418
KNTN423,Knottingley Signal FE6423
KNTN431,Knottingley Signal FE6431
KNTN401,Knottingley Signal K401
KNTN402,Knottingley Signal K402
KNTN421,Knottingley Signal K421
KNTN422,Knottingley Signal K422
KNTNGSJ,Knottingley South Junction
KNTNFHH,Knottingley Traction Maintenance Depot Freightliner Heavy Haul
KNTNWRD,Knottingley Wagon Repair Depot
KNTNGWJ,Knottingley West Junction
KNOWLEH,Knowle Halt
KNOWDL,Knowsley Dale Lane Ground Frame
KNOWFT,Knowsley Freight Terminal
KNUCKLS,Knucklas
KNUTSFD,Knutsford
KOBLENZ,Koblenz Hbf
KOLNHBF,Koln Hbf
KOLNNIE,Koln Niehl
KYLEAKN,Kyleakin (Skye)
KYLELSH,Kyle of Lochalsh
KYLELCE,Kyle of Lochalsh Civil Engineer's Sidings
KYLEGF,Kyle of Lochalsh Ground Frame
LACKNBY,Lackenby BSC
LACKCW,Lackenby Carriage & Wagon Works
LACKGBF,Lackenby GB Railfreight
LACKMAR,Lackenby Marcroft Engineering
LACKSLA,Lackenby Slag Road Level Crossing
LACKFHH,Lackenby 'SSI' Freightliner Heavy Haul
LDBRKJ,Ladbroke Grove
LADEHLT,Lade Halt
LADYBNK,Ladybank
LADYBHL,Ladybank Branch Loop
LADYCE,Ladybank Civil Engineer's Sidings
LADYDGL,Ladybank Down Goods Loop
LADY668,Ladybank Signal EB668
LADYSTE,Ladybank Signalling & Telecommunications Engineer's Sidings
LDYBURN,Ladyburn Terminal Complex
LDYWJN,Ladywell Junction
LWNSRCL,Lady Windsor Colliery
LAINDON,Laindon
LARACSD,Laira Carriage Servicing Depot
LARAJN,Laira Junction
LARAST,Laira Signalling & Telecommunications Engineer's Sidings
LARA318,Laira Signal P318
LARA320,Laira Signal P320
LARATMD,Laira Traction & Rolling Stock Maintenance Depot
LARASFR,Laira Traction & Rolling Stock Maintenance Depot Fuel Road
LAIRG,Lairg
LAIRGCE,Lairg Civil Engineer's Sidings
LAIRGLC,Lairg Level Crossing
LAIRGOT,Lairg Oil Terminal
LAIRSSH,Lairg South Shunt
LAISEMR,Laisterdyke European Metal Recycling
LAISEMR,Laisterdyke European Metal Recycling
LAISWJN,Laisterdyke Signal ML1558
LAKNHTH,Lakenheath
LAMBH,Lambhillsee also Gilshochill
LBRIGG,Lambrigg
LMPTBLL,Lampeter Black Lion/National Westminster Bank
LAMPHEY,Lamphey
LANARK,Lanark
LANARKJ,Lanark Junction
LANCSTR,Lancaster
LANCSDG,Lancaster Down Siding
LANCHS,Lancaster HS
LANC221,Lancaster Signal 221
LANC248,Lancaster Signal 248
LANCUGL,Lancaster South Junction Up Goods Loop
LANCGSB,Lancing Signal Box
LNDORE,Landore
LNDOCSD,Landore Carriage Servicing Depot
LNDOREJ,Landore Junction
LDRE260,Landore Signal PT260
LDRE283,Landore Signal PT283
LADRTMD,Landore Traction Maintenance Depot
LNDRBES,Landor Street Bank Engine Sidings
LNDRSTJ,Landor Street Junction
LNDYW,Landywood
LGBK,Langbank
LAGHJN,Langham Junction
LGHO,Langho
LGHM,Langholm
LANGLEY,Langley (Berks)
LANGEWS,Langley English Welsh & Scottish Railway Sidings
LGRN,Langley Green
LGRNAW,Langley Green Albright & Wilson
LGRNYD,Langley Green Yard
LNGYJN,Langley Junction
LNGY209,Langley Junction Signal K209
LNGY211,Langley Junction Signal K211
LNGY651,Langley Junction Signal K651
LNGY938,Langley Junction Signal K938
LNGY940,Langley Junction Signal K940
LNGY971,Langley Junction Signal WL1971
LNGY972,Langley Junction Signal WL1972
LNGY974,Langley Junction Signal WL1974
LGML,Langley Mill
LANGOT,Langley Oil Terminal
LANGREC,Langley Reception Sidings
LAGYRED,Langley Redland Sidings
LAGYGBF,Langley Redland Sidings GB Railfreight
LANGFHH,Langley Sidings Freightliner Heavy Haul
LANG131,Langley Signal S131
LNGYSJN,Langley South Junction
LANGSJ,Langley South Junction
LANGTCR,Langley Town Centre
LGLNJN,Langloan Junction
LGPORT,Langport
LANPORT,Langport Viaduct
LNSD,Langside
LWBY,Langwathby
LGWITH,Langwith-Whaley Thorns
LNGWRTH,Langworth Signal Box
LNGWST,Langworth Stainton
LAPFORD,Lapford
LAPWRTH,Lapworth
LARBERT,Larbert
LARBCE,Larbert Civil Engineer's Sidings
LARBICI,Larbert ICI
LARBERJ,Larbert Junction
LARBMEG,Larbert Marcroft Engineering
LARBERN,Larbert North
LARBDGL,Larbert North Down Goods Loop
LARBUGL,Larbert North Up Goods Loop
LARBRTY,Larbert Storage Sidings
LRGN,Largin
LARGS,Largs
LRKFCAR,Larkfield Carriage Sidings
LRKFLDJ,Larkfield Junction
LARKHAL,Larkhall
LARNEHB,Larne Harbour
LTFDMSC,Latchford Manchester Ship Canal Sidings
LTFDSD,Latchford Sidings
LTFDFHH,Latchford Sidings Freightliner Heavy Haul
LTCHMRJ,Latchmere Junction
LACHJSB,Latchmere Junction Signal Box
LAUNWST,Launceston Westgate Street Bus
LRNCKRK,Laurencekirk
LRNCDRS,Laurencekirk Down Refuge Siding
LRNCDRS,Laurencekirk Down Refuge Siding
LRNCURS,Laurencekirk Up Refuge Siding
LSTOKNJ,Laverstock North Junction
LSTOKSJ,Laverstock South Junction
LAVNGTN,Lavington
LAWJ,Law Junction
LAWJDPL,Law Junction Down Passenger Loop
LAWJDS,Law Junction Down Sidings
LAWJRRT,Law Junction (Road Rail TS)
LAWJT29,Law Junction Trak 29
LAWJUCE,Law Junction Up Civil Engineer's Sidings
LAWJUPL,Law Junction Up Passenger Loop
LWLYSAT,Lawley Street Aggregates Terminal
LWLYSAR,Lawley Street Arrival Road
LWLYSFT,Lawley Street Freightliner Terminal
LWLYSDC,Lawley Street Freightliner Terminal Connectrail
LWLYSRS,Lawley Street RS
LAWRNCH,Lawrence Hill
LAWRNHY,Lawrence Hill Freight Depot
LAWRNGF,Lawrence Hill Ground Frame
LAYTCLX,Layton Carleton Crossing Level Crossing
LAYTON,Layton (Lancs)
LAZKRKO,Lazonby & Kirkoswald
LEABDGE,Lea Bridge
LCHABUI,Leachabhuidh
LEAGRVE,Leagrave
LEAGRVJ,Leagrave Junction
LEAG622,Leagrave Junction Signal WH622
LEAG624,Leagrave Junction Signal WH624
LEAGSAN,Leagrave Sandon
LEAG591,Leagrave Shunt Signal WH591
LEAGSDG,Leagrave Tamper Sidings
LEGR,Lea Green
LEAHALL,Lea Hall
LEAJ,Lea Junction
LEAJ286,Lea Junction Loop Signal NL1286
LEALHLM,Lealholm
LMNGCHS,Leamington Carriage Sidings
LMNGDPS,Leamington Depot Siding
LMNGFDS,Leamington Field Sidings
LMNGFOS,Leamington Fosse Road
LMNGSOU,Leamington Southam Road
LMNGTNS,Leamington Spa
LMNGDDS,Leamington Spa Down Dock
LMNGLHS,Leamington Spa Loco Holding Sidings
LMNGSD4,Leamington Spa Platform 4 Siding
LMNG113,Leamington Spa Signal LN113
LMNG126,Leamington Spa Signal LN126
LMNG128,Leamington Spa Signal LN128
LEASOWE,Leasowe
LETH195,Leatherhead Signal W1195
CROY18,Lebanon Road Tram
LECHMSQ,Lechlade Market Square
LCKWBGF,Leckwith Bridge Ground Frame
LCKWLOP,Leckwith Loop
LCWLOP,Leckwith Loop
LCKWTHJ,Leckwith North Junction
LCKW058,Leckwith Signal CF7058
LCKWSTJ,Leckwith South Junction
LEDBRNJ,Ledburn Junction
LEDB426,Ledburn Junction Shunt Signal TK1426
LEDB428,Ledburn Junction Shunt Signal TK1428
LEDB433,Ledburn Junction Shunt Signal TK1433
LEDB435,Ledburn Junction Shunt Signal TK1435
LEDBSH,Ledburn Stoke Hammond
LDBURY,Ledbury
LDBUSGS,Ledbury Sidings
LDBUR40,Ledbury Signal L40
LEEDS,Leeds
LEEDBFD,Leeds Balm Road Freight Depot
LEEDFHH,Leeds Balm Road Loco Freightliner Heavy Haul
CATZ014,Leeds Castle
LEEDSEJ,Leeds East Junction
LEEDSFB,Leeds Festival Bus
LEEDFLT,Leeds Freightliner Terminal
LEEDADV,Leeds Freightliner Terminal Advenza
LEEDMWL,Leeds Midland Road Wheel Lathe
LEEDSNJ,Leeds North Junction
LEEDORT,Leeds 'ORT'
LEEDSPD,Leeds Rail Express Systems Terminal
LEED87,Leeds Signal L87
LEED190,Leeds Signal L190
LEED774,Leeds Signal L774
LEED871,Leeds Signal L871
LEED879,Leeds Signal L879/L881
LEED928,Leeds Signal L928
LEED929,Leeds Signal L929
LEED606,Leeds Signal L3606
LEED613,Leeds Signal L3613
LEED615,Leeds Signal L3615
LEED629,Leeds Signal L3629
LEED631,Leeds Signal L3631
LEED643,Leeds Signal L3643
LEED692,Leeds Signal L3692
LEED694,Leeds Signal L3694
LEED421,Leeds Signal L4421
LEEDRGB,Leeds Stourton Cemex GB Railfreight
LEEDRMC,Leeds Stourton RMC
LEEDVL,Leeds Viaduct Line
LEEDSWJ,Leeds West Junction
LEEK,Leek
LEEKBRJ,Leek Brook Junction
LEEELPJ,Lee Loop Junction
LEEE345,Lee Shunt Signal TL345
LEEESPR,Lee Spur
LEESPRJ,Lee Spur Junction
LESTER,Leicester
LESTPIG,Leicester A E Piggott
LESTBRG,Leicester Braunstone Gate
LESTRHS,Leicester HS
LESTHR,Leicester Humberstone Road
LESTHRJ,Leicester Humberstone Road Junction
LESTHR5,Leicester Humberstone Road No 5 Top Siding
LESTKJN,Leicester Knighton Junction
LESTKJS,Leicester Knighton Junction Sidings
